_id,_source,storeQuery,storeDetails,unitsData
5c04da9af8016869580da261,"{'THC': '0', 'store': {'en': 'Carulla'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04da9af8016869580da25b', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04da9af8016869580da261', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04da9af8016869580da25c', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04da9af8016869580da25d', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04da9af8016869580da25e', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04d69fbd4e8241e947de60', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04d69fbd4e8241e947de60'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04da9af8016869580da25e', 'unitName': ' 4 Kg'}"
5c04e889f8016869580daf63,"{'THC': '0', 'store': {'en': 'Hy-Vee'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04e889f8016869580daf5d', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04e889f8016869580daf63', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04e889f8016869580daf5e', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04e889f8016869580daf5f', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04e889f8016869580daf60', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04ddeeb905426ebce6c810', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04ddeeb905426ebce6c810'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04e889f8016869580daf60', 'unitName': ' 4 Kg'}"
5c04e90bf8016869580db0b4,"{'THC': '0', 'store': {'en': 'Central Market'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04e90bf8016869580db0ae', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04e90bf8016869580db0b4', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04e90bf8016869580db0af', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04e90bf8016869580db0b0', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04e90bf8016869580db0b1', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04e098453baf72aec64339', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04e098453baf72aec64339'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04e90bf8016869580db0b1', 'unitName': ' 4 Kg'}"
5c62b497e50cc13ed730cb49,"{'THC': '0', 'store': {'en': 'Jubilee Marketplace'}, 'offer': [{'applicableOn': 0, 'startDateTimeISO': '2019-02-11T22:30:00', 'offerId': '5c62bc65e50cc13ed730ce49', 'statusString': 'Active', 'unitid': [], 'discountTypeString': 'Flat Discount', 'endDateTimeISO': '2019-06-13T20:30:00', 'discountValue': 4.0, 'discountType': 0, 'applicableOnStatus': 'Product', 'endDateTime': 1560457800, 'perUserLimit': 2, 'status': 1, 'images': {'mobile': ' http://s3.amazonaws.com/grocerufly/mobile_1549974571842_Group2048.png', 'thumbnail': ' http://s3.amazonaws.com/grocerufly/thumb_1549974571842_Group2048.png', 'image': ' http://s3.amazonaws.com/grocerufly/1549974571842_Group2048.png'}, 'minimumPurchaseQty': 3, 'globalClaimCount': 0, 'startDateTime': 1549924200}], 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c62b496e50cc13ed730cb43', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c62b497e50cc13ed730cb49', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c62b496e50cc13ed730cb44', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c62b496e50cc13ed730cb45', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c62b496e50cc13ed730cb46', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c62b30c67e41a4fda6953c7', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c62b30c67e41a4fda6953c7'}}]}}}","{'storeSubCategory': [{'subCategoryName': {'es': '', 'en': 'Fruits and Veggies', 'nl': '', 'id': '', 'ar': '', 'fr': ''}, 'subCategoryId': '5c629c73087d9243881b8f1b'}], 'storeLogo': 'http://s3.amazonaws.com/flexyapp/1549972097441_1547726612392_coventgardenjubileemkt.jpg', 'storeName': 'Jubilee Marketplace', 'address': 'RT Nagar, Bengaluru, Karnataka, India', 'storeId': '5c62b30c67e41a4fda6953c7', 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c62b496e50cc13ed730cb46', 'unitName': ' 4 Kg'}"
5bea9373f801683dbc785e3b,"{'THC': '0', 'store': {'en': 'Whole Foods'}, 'images': [{'title': '', 'imageText': '', 'mobile': ' http://s3.amazonaws.com/flexyapp/mobile_1542014274519_Guava.png', 'keyword': '', 'image': ' http://s3.amazonaws.com/flexyapp/1542014274519_Guava.png', 'imageId': '5bea9373f801683dbc785e3a', 'thumbnail': ' http://s3.amazonaws.com/flexyapp/thumb_1542014274519_Guava.png', 'description': ''}], 'productname': {'nl': '', 'en': 'Guava'}, 'parentProductId': '5bdf055af801681ecc582a59', 'units': [{'name': {'nl': '', 'en': '1 Kg '}, 'price': {'nl': '', 'en': '89.60'}, 'unitId': '5bea9373f801683dbc785e33', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'nl': '', 'en': '2 Kg'}, 'price': {'nl': '', 'en': '120.87'}, 'unitId': '5bea9373f801683dbc785e36', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'nl': '', 'en': '4 Kg'}, 'price': {'nl': '', 'en': '167.89'}, 'unitId': '5bea9373f801683dbc785e39', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5be98bd35dfb4a665a6a1b2a', 'CBD': '0', 'sku': 'Gu-Fr-Fr-Fr-58ACj74Qrp'}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5be98bd35dfb4a665a6a1b2a'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5bea9373f801683dbc785e39', 'unitName': '4 Kg'}"
5c04d6d3f8016869580d9f78,"{'THC': '0', 'store': {'en': 'Aldi'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04d6d3f8016869580d9f72', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04d6d3f8016869580d9f78', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04d6d3f8016869580d9f73', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04d6d3f8016869580d9f74', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04d6d3f8016869580d9f75', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04d5dbbd4e8241e947de5f', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04d5dbbd4e8241e947de5f'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04d6d3f8016869580d9f75', 'unitName': ' 4 Kg'}"
5c04e473f8016869580da82f,"{'THC': '0', 'store': {'en': 'Whole Foods'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04e473f8016869580da829', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04e473f8016869580da82f', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04e473f8016869580da82a', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04e473f8016869580da82b', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04e473f8016869580da82c', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04db2fb905426ebce6c80f', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04db2fb905426ebce6c80f'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04e473f8016869580da82c', 'unitName': ' 4 Kg'}"
5c04e59ff8016869580dab0f,"{'THC': '0', 'store': {'en': 'Woolworths '}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04e59ff8016869580dab09', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04e59ff8016869580dab0f', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04e59ff8016869580dab0a', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04e59ff8016869580dab0b', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04e59ff8016869580dab0c', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04e3a5f0cb6274ff73fadf', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04e3a5f0cb6274ff73fadf'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04e59ff8016869580dab0c', 'unitName': ' 4 Kg'}"
5c04d04ff801686854f557e3,"{'THC': '0', 'store': {'en': 'Seasons Market'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04d04ff801686854f557dd', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04d04ff801686854f557e3', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04d04ff801686854f557de', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04d04ff801686854f557df', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04d04ff801686854f557e0', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5be56a3dba904a43f25a53f5', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5be56a3dba904a43f25a53f5'}}]}}}","{'storeSubCategory': [], 'storeLogo': 'http://s3.amazonaws.com/flexyapp/1541761489720_SeasonsMarket.jpg', 'storeName': 'Seasons Market', 'address': 'RT Nagar, Bengaluru, Karnataka, India', 'storeId': '5be56a3dba904a43f25a53f5', 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04d04ff801686854f557e0', 'unitName': ' 4 Kg'}"
5c04dd28f8016869580da541,"{'THC': '0', 'store': {'en': 'Lidl'}, 'images': [{'title': '', 'imageText': '', 'mobile': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'keyword': '', 'image': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'imageId': '5c04dd28f8016869580da53b', 'thumbnail': 'https://s3.amazonaws.com/flexyapp/All+Products/Grocery/Guava+%CE%93%C3%87%C3%B4+2.png', 'description': ''}], 'productname': {'en': 'Guava'}, 'parentProductId': '5c04dd28f8016869580da541', 'units': [{'name': {'en': '1 Kg'}, 'price': {'en': '89.6'}, 'unitId': '5c04dd28f8016869580da53c', 'status': 'active', 'sizeAttributes': [], 'floatValue': 89.6}, {'name': {'en': ' 2 Kg'}, 'price': {'en': '120.87'}, 'unitId': '5c04dd28f8016869580da53d', 'status': 'active', 'sizeAttributes': [], 'floatValue': 120.87}, {'name': {'en': ' 4 Kg'}, 'price': {'en': '167.89'}, 'unitId': '5c04dd28f8016869580da53e', 'status': 'active', 'sizeAttributes': [], 'floatValue': 167.89}], 'storeId': '5c04d9feb905426ebce6c80e', 'CBD': '0', 'sku': ''}","{'query': {'bool': {'must': [{'match': {'status': 1}}, {'match': {'_id': '5c04d9feb905426ebce6c80e'}}]}}}","{'storeSubCategory': [], 'storeLogo': 0, 'storeName': 0, 'address': 0, 'storeId': 0, 'averageRating': 0}","{'floatunitPrice': 167.89, 'unitPrice': '167.89', 'unitId': '5c04dd28f8016869580da53e', 'unitName': ' 4 Kg'}"
